Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C2, C3, C4, C5, C7, C8",0603,9,0.1uF,
"C10, C11",0603,2,10uF,
"C12, C13",0603,2,12pF,
"C6, C9",0603,2,1uF,
D1,D_SOD-323,1,D_Schottky_Small,C114023
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_Stemma_QT,C145956
J2,PMODPinHeader_1x06_P2.54mm_Horizontal,1,PMOD,C7501615
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BSS138,C112239
"R1, R2",0603,2,5.1K,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R21, R4, R7, R8, R9",0603,14,10K,
"R19, R20",0603,2,4.7K,
"R22, R3",0603,2,1K,
"R5, R6",0603,2,27R,
U1,QFN-56_EP_7x7_Pitch0.4mm,1,RP2040,C2040
U2,SOT-23-5,1,AP2112K-3.3,C51118
U3,SSOP-8_5.25x5.24mm_P1.27mm,1,GD25Q16xS,C79074
U4,BM20B(0.8)-40DS-0.4V,1,BBQ20KBD,C424543
U5,SOT-23-5,1,ME6212C18M5G,C236669
U6,SOT-23-5,1,ME6212C28M5G,C427596
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,XYDBPCNANF-12MHZ,C521567
